"","GO_ID","Term"
"4532","GO:0010724","regulation of definitive erythrocyte differentiation"
"4533","GO:0010725","regulation of primitive erythrocyte differentiation"
"4534","GO:0010726","positive regulation of hydrogen peroxide metabolic process"
"4535","GO:0010727","negative regulation of hydrogen peroxide metabolic process"
"4536","GO:0010728","regulation of hydrogen peroxide biosynthetic process"
"4537","GO:0010729","positive regulation of hydrogen peroxide biosynthetic process"
"4538","GO:0010730","negative regulation of hydrogen peroxide biosynthetic process"
"4539","GO:0010731","protein glutathionylation"
"4540","GO:0010732","regulation of protein glutathionylation"
"4541","GO:0010733","positive regulation of protein glutathionylation"
"4542","GO:0010734","negative regulation of protein glutathionylation"
"4543","GO:0010735","positive regulation of transcription via serum response element binding"
"4544","GO:0010737","protein kinase A signaling"
"4545","GO:0010738","regulation of protein kinase A signaling"
"4546","GO:0010739","positive regulation of protein kinase A signaling"
"4547","GO:0010742","macrophage derived foam cell differentiation"
"4548","GO:0010743","regulation of macrophage derived foam cell differentiation"
"4549","GO:0010744","positive regulation of macrophage derived foam cell differentiation"
"4550","GO:0010745","negative regulation of macrophage derived foam cell differentiation"
"4551","GO:0010746","regulation of long-chain fatty acid import across plasma membrane"
"4552","GO:0010747","positive regulation of long-chain fatty acid import across plasma membrane"
"4553","GO:0010748","negative regulation of long-chain fatty acid import across plasma membrane"
"4554","GO:0010749","regulation of nitric oxide mediated signal transduction"
"4555","GO:0010750","positive regulation of nitric oxide mediated signal transduction"
"4556","GO:0010751","negative regulation of nitric oxide mediated signal transduction"
"4557","GO:0010752","regulation of cGMP-mediated signaling"
"4558","GO:0010753","positive regulation of cGMP-mediated signaling"
"4559","GO:0010754","negative regulation of cGMP-mediated signaling"
"4560","GO:0010755","regulation of plasminogen activation"
"4561","GO:0010756","positive regulation of plasminogen activation"
"4562","GO:0010757","negative regulation of plasminogen activation"
"4563","GO:0010758","regulation of macrophage chemotaxis"
"4564","GO:0010759","positive regulation of macrophage chemotaxis"
"4565","GO:0010760","negative regulation of macrophage chemotaxis"
"4566","GO:0010761","fibroblast migration"
"4567","GO:0010762","regulation of fibroblast migration"
"4568","GO:0010763","positive regulation of fibroblast migration"
"4569","GO:0010764","negative regulation of fibroblast migration"
"4570","GO:0010765","positive regulation of sodium ion transport"
"4571","GO:0010766","negative regulation of sodium ion transport"
"4572","GO:0010767","regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage"
"4573","GO:0010768","negative regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage"
"4574","GO:0010769","regulation of cell morphogenesis involved in differentiation"
"4575","GO:0010770","positive regulation of cell morphogenesis involved in differentiation"
"4576","GO:0010771","negative regulation of cell morphogenesis involved in differentiation"
"4577","GO:0010772","meiotic DNA recombinase assembly involved in reciprocal meiotic recombination"
"4578","GO:0010773","meiotic DNA recombinase assembly involved in meiotic gene conversion"
"4579","GO:0010774","meiotic strand invasion involved in reciprocal meiotic recombination"
"4580","GO:0010775","meiotic strand invasion involved in meiotic gene conversion"
"4581","GO:0010776","meiotic mismatch repair involved in meiotic gene conversion"
"4582","GO:0010777","meiotic mismatch repair involved in reciprocal meiotic recombination"
"4583","GO:0010778","meiotic DNA repair synthesis involved in reciprocal meiotic recombination"
"4584","GO:0010779","meiotic DNA repair synthesis involved in meiotic gene conversion"
"4585","GO:0010780","meiotic DNA double-strand break formation involved in reciprocal meiotic recombination"
"4586","GO:0010781","meiotic DNA double-strand break formation involved in meiotic gene conversion"
"4587","GO:0010782","proboscis morphogenesis, labial disc-derived"
"4588","GO:0010783","proboscis morphogenesis, eye-antennal disc-derived"
"4589","GO:0010784","proboscis morphogenesis, clypeo-labral disc-derived"
"4590","GO:0010785","clathrin coating of Golgi vesicle, plasma membrane to endosome targeting"
"4591","GO:0010786","clathrin coating of Golgi vesicle, trans-Golgi to endosome targeting"
"4592","GO:0010787","COPI coating of Golgi vesicle, inter-Golgi cisterna"
"4593","GO:0010788","COPI coating of Golgi vesicle, cis-Golgi to rough ER"
"4594","GO:0010789","meiotic sister chromatid cohesion involved in meiosis I"
"4595","GO:0010790","meiotic sister chromatid cohesion involved in meiosis II"
"4596","GO:0010791","DNA double-strand break processing involved in repair via synthesis-dependent strand annealing"
"4597","GO:0010792","DNA double-strand break processing involved in repair via single-strand annealing"
"4598","GO:0010793","regulation of mRNA export from nucleus"
"4599","GO:0010794","regulation of dolichol biosynthetic process"
"4600","GO:0010795","regulation of ubiquinone biosynthetic process"
"4601","GO:0010796","regulation of multivesicular body size"
"4602","GO:0010797","regulation of multivesicular body size involved in endosome transport"
"4603","GO:0010798","regulation of multivesicular body size involved in ubiquitin-dependent protein catabolism"
"4604","GO:0010799","regulation of peptidyl-threonine phosphorylation"
"4605","GO:0010800","positive regulation of peptidyl-threonine phosphorylation"
"4606","GO:0010801","negative regulation of peptidyl-threonine phosphorylation"
"4607","GO:0010803","regulation of tumor necrosis factor-mediated signaling pathway"
"4608","GO:0010804","negative regulation of tumor necrosis factor-mediated signaling pathway"
"4609","GO:0010807","regulation of synaptic vesicle priming"
"4610","GO:0010808","positive regulation of synaptic vesicle priming"
"4611","GO:0010809","negative regulation of synaptic vesicle priming"
"4612","GO:0010810","regulation of cell-substrate adhesion"
"4613","GO:0010811","positive regulation of cell-substrate adhesion"
"4614","GO:0010812","negative regulation of cell-substrate adhesion"
"4615","GO:0010813","neuropeptide catabolic process"
"4616","GO:0010814","substance P catabolic process"
"4617","GO:0010815","bradykinin catabolic process"
"4618","GO:0010816","calcitonin catabolic process"
"4619","GO:0010817","regulation of hormone levels"
"4620","GO:0010818","T cell chemotaxis"
"4621","GO:0010819","regulation of T cell chemotaxis"
"4622","GO:0010820","positive regulation of T cell chemotaxis"
"4623","GO:0010821","regulation of mitochondrion organization"
"4624","GO:0010822","positive regulation of mitochondrion organization"
"4625","GO:0010823","negative regulation of mitochondrion organization"
"4626","GO:0010824","regulation of centrosome duplication"
"4627","GO:0010825","positive regulation of centrosome duplication"
"4628","GO:0010826","negative regulation of centrosome duplication"
"4629","GO:0010827","regulation of glucose transmembrane transport"
"4630","GO:0010828","positive regulation of glucose transmembrane transport"
"4631","GO:0010829","negative regulation of glucose transmembrane transport"
"4632","GO:0010830","regulation of myotube differentiation"
"4633","GO:0010831","positive regulation of myotube differentiation"
"4634","GO:0010832","negative regulation of myotube differentiation"
"4635","GO:0010833","telomere maintenance via telomere lengthening"
"4636","GO:0010835","regulation of protein ADP-ribosylation"
"4637","GO:0010836","negative regulation of protein ADP-ribosylation"
"4638","GO:0010837","regulation of keratinocyte proliferation"
"4639","GO:0010838","positive regulation of keratinocyte proliferation"
"4640","GO:0010839","negative regulation of keratinocyte proliferation"
"4641","GO:0010840","regulation of circadian sleep/wake cycle, wakefulness"
"4642","GO:0010841","positive regulation of circadian sleep/wake cycle, wakefulness"
"4643","GO:0010842","retina layer formation"
"4644","GO:0010845","positive regulation of reciprocal meiotic recombination"
"4645","GO:0010846","activation of reciprocal meiotic recombination"
"4646","GO:0010847","regulation of chromatin assembly"
"4647","GO:0010848","regulation of chromatin disassembly"
"4648","GO:0010849","regulation of proton-transporting ATPase activity, rotational mechanism"
"4649","GO:0010850","regulation of blood pressure by chemoreceptor signaling pathway"
"4650","GO:0010862","positive regulation of pathway-restricted SMAD protein phosphorylation"
"4651","GO:0010863","positive regulation of phospholipase C activity"
"4652","GO:0010864","positive regulation of protein histidine kinase activity"
"4653","GO:0010865","stipule development"
"4654","GO:0010866","regulation of triglyceride biosynthetic process"
"4655","GO:0010867","positive regulation of triglyceride biosynthetic process"
"4656","GO:0010868","negative regulation of triglyceride biosynthetic process"
"4657","GO:0010872","regulation of cholesterol esterification"
"4658","GO:0010873","positive regulation of cholesterol esterification"
"4659","GO:0010874","regulation of cholesterol efflux"
"4660","GO:0010875","positive regulation of cholesterol efflux"
"4661","GO:0010876","lipid localization"
"4662","GO:0010877","lipid transport involved in lipid storage"
"4663","GO:0010878","cholesterol storage"
"4664","GO:0010879","cholesterol transport involved in cholesterol storage"
"4665","GO:0010880","regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum"
"4666","GO:0010881","regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion"
"4667","GO:0010882","regulation of cardiac muscle contraction by calcium ion signaling"
"4668","GO:0010883","regulation of lipid storage"
"4669","GO:0010884","positive regulation of lipid storage"
"4670","GO:0010885","regulation of cholesterol storage"
"4671","GO:0010886","positive regulation of cholesterol storage"
"4672","GO:0010887","negative regulation of cholesterol storage"
"4673","GO:0010888","negative regulation of lipid storage"
"4674","GO:0010889","regulation of sequestering of triglyceride"
"4675","GO:0010890","positive regulation of sequestering of triglyceride"
"4676","GO:0010891","negative regulation of sequestering of triglyceride"
"4677","GO:0010892","positive regulation of mitochondrial translation in response to stress"
"4678","GO:0010893","positive regulation of steroid biosynthetic process"
"4679","GO:0010894","negative regulation of steroid biosynthetic process"
"4680","GO:0010895","negative regulation of ergosterol biosynthetic process"
"4681","GO:0010896","regulation of triglyceride catabolic process"
"4682","GO:0010897","negative regulation of triglyceride catabolic process"
"4683","GO:0010898","positive regulation of triglyceride catabolic process"
"4684","GO:0010899","regulation of phosphatidylcholine catabolic process"
"4685","GO:0010900","negative regulation of phosphatidylcholine catabolic process"
"4686","GO:0010901","regulation of very-low-density lipoprotein particle remodeling"
"4687","GO:0010902","positive regulation of very-low-density lipoprotein particle remodeling"
"4688","GO:0010903","negative regulation of very-low-density lipoprotein particle remodeling"
"4689","GO:0010904","regulation of UDP-glucose catabolic process"
"4690","GO:0010905","negative regulation of UDP-glucose catabolic process"
"4691","GO:0010906","regulation of glucose metabolic process"
"4692","GO:0010907","positive regulation of glucose metabolic process"
"4693","GO:0010908","regulation of heparan sulfate proteoglycan biosynthetic process"
"4694","GO:0010909","positive regulation of heparan sulfate proteoglycan biosynthetic process"
"4695","GO:0010910","positive regulation of heparan sulfate proteoglycan biosynthesis by positive regulation of epimerase activity"
"4696","GO:0010911","regulation of isomerase activity"
"4697","GO:0010912","positive regulation of isomerase activity"
"4698","GO:0010913","regulation of sterigmatocystin biosynthetic process"
"4699","GO:0010914","positive regulation of sterigmatocystin biosynthetic process"
"4700","GO:0010915","regulation of very-low-density lipoprotein particle clearance"
"4701","GO:0010916","negative regulation of very-low-density lipoprotein particle clearance"
"4702","GO:0010917","negative regulation of mitochondrial membrane potential"
"4703","GO:0010918","positive regulation of mitochondrial membrane potential"
"4704","GO:0010919","regulation of inositol phosphate biosynthetic process"
"4705","GO:0010920","negative regulation of inositol phosphate biosynthetic process"
"4706","GO:0010921","regulation of phosphatase activity"
"4707","GO:0010922","positive regulation of phosphatase activity"
"4708","GO:0010923","negative regulation of phosphatase activity"
"4709","GO:0010924","regulation of inositol-polyphosphate 5-phosphatase activity"
"4710","GO:0010925","positive regulation of inositol-polyphosphate 5-phosphatase activity"
"4711","GO:0010927","cellular component assembly involved in morphogenesis"
"4712","GO:0010928","regulation of auxin mediated signaling pathway"
"4713","GO:0010929","positive regulation of auxin mediated signaling pathway"
"4714","GO:0010930","negative regulation of auxin mediated signaling pathway"
"4715","GO:0010931","macrophage tolerance induction"
"4716","GO:0010932","regulation of macrophage tolerance induction"
"4717","GO:0010933","positive regulation of macrophage tolerance induction"
"4718","GO:0010934","macrophage cytokine production"
"4719","GO:0010935","regulation of macrophage cytokine production"
"4720","GO:0010936","negative regulation of macrophage cytokine production"
"4721","GO:0010937","regulation of cytoplasmic microtubule depolymerization"
"4722","GO:0010938","cytoplasmic microtubule depolymerization"
"4723","GO:0010939","regulation of necrotic cell death"
"4724","GO:0010940","positive regulation of necrotic cell death"
"4725","GO:0010941","regulation of cell death"
"4726","GO:0010942","positive regulation of cell death"
"4727","GO:0010944","negative regulation of transcription by competitive promoter binding"
"4728","GO:0010946","regulation of meiotic joint molecule formation"
"4729","GO:0010947","negative regulation of meiotic joint molecule formation"
"4730","GO:0010948","negative regulation of cell cycle process"
"4731","GO:0010949","negative regulation of intestinal phytosterol absorption"
"4732","GO:0010950","positive regulation of endopeptidase activity"
"4733","GO:0010951","negative regulation of endopeptidase activity"
"4734","GO:0010952","positive regulation of peptidase activity"
"4735","GO:0010954","positive regulation of protein processing"
"4736","GO:0010955","negative regulation of protein processing"
"4737","GO:0010956","negative regulation of calcidiol 1-monooxygenase activity"
"4738","GO:0010957","negative regulation of vitamin D biosynthetic process"
"4739","GO:0010958","regulation of amino acid import across plasma membrane"
"4740","GO:0010959","regulation of metal ion transport"
"4741","GO:0010960","magnesium ion homeostasis"
"4742","GO:0010961","cellular magnesium ion homeostasis"
"4743","GO:0010962","regulation of glucan biosynthetic process"
"4744","GO:0010963","regulation of L-arginine import"
"4745","GO:0010964","regulation of heterochromatin assembly by small RNA"
"4746","GO:0010965","regulation of mitotic sister chromatid separation"
"4747","GO:0010966","regulation of phosphate transport"
"4748","GO:0010967","regulation of polyamine biosynthetic process"
"4749","GO:0010968","regulation of microtubule nucleation"
"4750","GO:0010969","regulation of pheromone-dependent signal transduction involved in conjugation with cellular fusion"
"4751","GO:0010970","transport along microtubule"
"4752","GO:0010971","positive regulation of G2/M transition of mitotic cell cycle"
"4753","GO:0010972","negative regulation of G2/M transition of mitotic cell cycle"
"4754","GO:0010973","positive regulation of division septum assembly"
"4755","GO:0010974","negative regulation of division septum assembly"
"4756","GO:0010975","regulation of neuron projection development"
"4757","GO:0010976","positive regulation of neuron projection development"
"4758","GO:0010977","negative regulation of neuron projection development"
"4759","GO:0010979","regulation of vitamin D 24-hydroxylase activity"
"4760","GO:0010980","positive regulation of vitamin D 24-hydroxylase activity"
"4761","GO:0010981","regulation of cell wall macromolecule metabolic process"
"4762","GO:0010982","regulation of high-density lipoprotein particle clearance"
"4763","GO:0010983","positive regulation of high-density lipoprotein particle clearance"
"4764","GO:0010984","regulation of lipoprotein particle clearance"
"4765","GO:0010985","negative regulation of lipoprotein particle clearance"
"4766","GO:0010986","positive regulation of lipoprotein particle clearance"
"4767","GO:0010987","negative regulation of high-density lipoprotein particle clearance"
"4768","GO:0010988","regulation of low-density lipoprotein particle clearance"
"4769","GO:0010989","negative regulation of low-density lipoprotein particle clearance"
"4770","GO:0010990","regulation of SMAD protein complex assembly"
"4771","GO:0010991","negative regulation of SMAD protein complex assembly"
"4772","GO:0010992","ubiquitin recycling"
"4773","GO:0010994","free ubiquitin chain polymerization"
"4774","GO:0010995","free ubiquitin chain depolymerization"
"4775","GO:0010996","response to auditory stimulus"
"4776","GO:0010998","regulation of translational initiation by eIF2 alpha phosphorylation"
"4777","GO:0010999","regulation of eIF2 alpha phosphorylation by heme"
"4778","GO:0011000","replication fork arrest at mating type locus"
"4779","GO:0012501","programmed cell death"
"4780","GO:0012502","induction of programmed cell death"
"4781","GO:0014001","sclerenchyma cell differentiation"
"4782","GO:0014002","astrocyte development"
"4783","GO:0014003","oligodendrocyte development"
"4784","GO:0014004","microglia differentiation"
"4785","GO:0014005","microglia development"
"4786","GO:0014006","regulation of microglia differentiation"
"4787","GO:0014007","negative regulation of microglia differentiation"
"4788","GO:0014008","positive regulation of microglia differentiation"
"4789","GO:0014009","glial cell proliferation"
"4790","GO:0014010","Schwann cell proliferation"
"4791","GO:0014011","Schwann cell proliferation involved in axon regeneration"
"4792","GO:0014012","peripheral nervous system axon regeneration"
"4793","GO:0014013","regulation of gliogenesis"
"4794","GO:0014014","negative regulation of gliogenesis"
"4795","GO:0014015","positive regulation of gliogenesis"
"4796","GO:0014016","neuroblast differentiation"
"4797","GO:0014017","neuroblast fate commitment"
"4798","GO:0014018","neuroblast fate specification"
"4799","GO:0014019","neuroblast development"
"4800","GO:0014020","primary neural tube formation"
"4801","GO:0014021","secondary neural tube formation"
"4802","GO:0014022","neural plate elongation"
"4803","GO:0014023","neural rod formation"
"4804","GO:0014024","neural rod cavitation"
"4805","GO:0014025","neural keel formation"
"4806","GO:0014027","secondary neural tube rod cavitation"
"4807","GO:0014028","notochord formation"
"4808","GO:0014029","neural crest formation"
"4809","GO:0014030","mesenchymal cell fate commitment"
"4810","GO:0014031","mesenchymal cell development"
"4811","GO:0014032","neural crest cell development"
"4812","GO:0014033","neural crest cell differentiation"
"4813","GO:0014034","neural crest cell fate commitment"
"4814","GO:0014035","neural crest cell fate determination"
"4815","GO:0014036","neural crest cell fate specification"
"4816","GO:0014037","Schwann cell differentiation"
"4817","GO:0014038","regulation of Schwann cell differentiation"
"4818","GO:0014039","negative regulation of Schwann cell differentiation"
"4819","GO:0014040","positive regulation of Schwann cell differentiation"
"4820","GO:0014041","regulation of neuron maturation"
"4821","GO:0014042","positive regulation of neuron maturation"
"4822","GO:0014043","negative regulation of neuron maturation"
"4823","GO:0014044","Schwann cell development"
"4824","GO:0014045","establishment of endothelial blood-brain barrier"
"4825","GO:0014046","dopamine secretion"
"4826","GO:0014047","glutamate secretion"
"4827","GO:0014048","regulation of glutamate secretion"
"4828","GO:0014049","positive regulation of glutamate secretion"
"4829","GO:0014050","negative regulation of glutamate secretion"
"4830","GO:0014051","gamma-aminobutyric acid secretion"
"4831","GO:0014052","regulation of gamma-aminobutyric acid secretion"
"4832","GO:0014053","negative regulation of gamma-aminobutyric acid secretion"
"4833","GO:0014054","positive regulation of gamma-aminobutyric acid secretion"
"4834","GO:0014055","acetylcholine secretion, neurotransmission"
"4835","GO:0014056","regulation of acetylcholine secretion, neurotransmission"
"4836","GO:0014057","positive regulation of acetylcholine secretion, neurotransmission"
"4837","GO:0014058","negative regulation of acetylcholine secretion, neurotransmission"
"4838","GO:0014059","regulation of dopamine secretion"
"4839","GO:0014060","regulation of epinephrine secretion"
"4840","GO:0014061","regulation of norepinephrine secretion"
"4841","GO:0014062","regulation of serotonin secretion"
"4842","GO:0014063","negative regulation of serotonin secretion"
"4843","GO:0014064","positive regulation of serotonin secretion"
"4844","GO:0014065","phosphatidylinositol 3-kinase signaling"
"4845","GO:0014066","regulation of phosphatidylinositol 3-kinase signaling"
"4846","GO:0014067","negative regulation of phosphatidylinositol 3-kinase signaling"
"4847","GO:0014068","positive regulation of phosphatidylinositol 3-kinase signaling"
"4848","GO:0014070","response to organic cyclic compound"
"4849","GO:0014071","response to cycloalkane"
"4850","GO:0014072","response to isoquinoline alkaloid"
"4851","GO:0014073","response to tropane"
"4852","GO:0014074","response to purine-containing compound"
"4853","GO:0014075","response to amine"
"4854","GO:0014076","response to fluoxetine"
"4855","GO:0014703","oscillatory muscle contraction"
"4856","GO:0014706","striated muscle tissue development"
"4857","GO:0014707","branchiomeric skeletal muscle development"
"4858","GO:0014708","regulation of somitomeric trunk muscle development"
"4859","GO:0014709","positive regulation of somitomeric trunk muscle development"
"4860","GO:0014710","negative regulation of somitomeric trunk muscle development"
"4861","GO:0014711","regulation of branchiomeric skeletal muscle development"
"4862","GO:0014712","positive regulation of branchiomeric skeletal muscle development"
"4863","GO:0014713","negative regulation of branchiomeric skeletal muscle development"
"4864","GO:0014714","myoblast fate commitment in head"
"4865","GO:0014715","myoblast fate commitment in trunk"
"4866","GO:0014716","skeletal muscle satellite stem cell asymmetric division involved in skeletal muscle regeneration"
"4867","GO:0014717","regulation of satellite cell activation involved in skeletal muscle regeneration"
"4868","GO:0014718","positive regulation of satellite cell activation involved in skeletal muscle regeneration"
"4869","GO:0014719","skeletal muscle satellite cell activation"
"4870","GO:0014720","tonic skeletal muscle contraction"
"4871","GO:0014721","twitch skeletal muscle contraction"
"4872","GO:0014722","regulation of skeletal muscle contraction by calcium ion signaling"
"4873","GO:0014723","regulation of skeletal muscle contraction by modulation of calcium ion sensitivity of myofibril"
"4874","GO:0014724","regulation of twitch skeletal muscle contraction"
"4875","GO:0014725","regulation of extraocular skeletal muscle development"
"4876","GO:0014726","negative regulation of extraocular skeletal muscle development"
"4877","GO:0014727","positive regulation of extraocular skeletal muscle development"
"4878","GO:0014728","regulation of the force of skeletal muscle contraction"
"4879","GO:0014729","regulation of the velocity of shortening of skeletal muscle modulating contraction"
"4880","GO:0014730","skeletal muscle regeneration at neuromuscular junction"
"4881","GO:0014732","skeletal muscle atrophy"
"4882","GO:0014733","regulation of skeletal muscle adaptation"
"4883","GO:0014734","skeletal muscle hypertrophy"
"4884","GO:0014735","regulation of muscle atrophy"
"4885","GO:0014736","negative regulation of muscle atrophy"
"4886","GO:0014737","positive regulation of muscle atrophy"
"4887","GO:0014738","regulation of muscle hyperplasia"
"4888","GO:0014739","positive regulation of muscle hyperplasia"
"4889","GO:0014740","negative regulation of muscle hyperplasia"
"4890","GO:0014741","negative regulation of muscle hypertrophy"
"4891","GO:0014742","positive regulation of muscle hypertrophy"
"4892","GO:0014743","regulation of muscle hypertrophy"
"4893","GO:0014744","positive regulation of muscle adaptation"
"4894","GO:0014745","negative regulation of muscle adaptation"
"4895","GO:0014746","regulation of tonic skeletal muscle contraction"
"4896","GO:0014747","positive regulation of tonic skeletal muscle contraction"
"4897","GO:0014748","negative regulation of tonic skeletal muscle contraction"
"4898","GO:0014805","smooth muscle adaptation"
"4899","GO:0014806","smooth muscle hyperplasia"
"4900","GO:0014807","regulation of somitogenesis"
"4901","GO:0014808","release of sequestered calcium ion into cytosol by sarcoplasmic reticulum"
"4902","GO:0014809","regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion"
"4903","GO:0014810","positive regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion"
"4904","GO:0014811","negative regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion"
"4905","GO:0014812","muscle cell migration"
"4906","GO:0014813","skeletal muscle satellite cell commitment"
"4907","GO:0014814","axon regeneration at neuromuscular junction"
"4908","GO:0014815","initiation of skeletal muscle satellite cell activation by growth factor signaling, involved in skeletal muscle regeneration"
"4909","GO:0014816","skeletal muscle satellite cell differentiation"
"4910","GO:0014817","skeletal muscle satellite cell fate specification"
"4911","GO:0014818","skeletal muscle satellite cell fate determination"
"4912","GO:0014819","regulation of skeletal muscle contraction"
"4913","GO:0014820","tonic smooth muscle contraction"
"4914","GO:0014821","phasic smooth muscle contraction"
"4915","GO:0014822","detection of wounding"
"4916","GO:0014823","response to activity"
"4917","GO:0014824","artery smooth muscle contraction"
"4918","GO:0014825","stomach fundus smooth muscle contraction"
"4919","GO:0014826","vein smooth muscle contraction"
"4920","GO:0014827","intestine smooth muscle contraction"
"4921","GO:0014828","distal stomach smooth muscle contraction"
"4922","GO:0014829","vascular associated smooth muscle contraction"
"4923","GO:0014830","arteriole smooth muscle contraction"
"4924","GO:0014831","gastro-intestinal system smooth muscle contraction"
"4925","GO:0014832","urinary bladder smooth muscle contraction"
"4926","GO:0014833","skeletal muscle satellite stem cell asymmetric division"
"4927","GO:0014834","skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration"
"4928","GO:0014835","myoblast differentiation involved in skeletal muscle regeneration"
"4929","GO:0014836","myoblast fate commitment involved in skeletal muscle regeneration"
"4930","GO:0014837","myoblast fate determination involved in skeletal muscle regeneration"
"4931","GO:0014838","myoblast fate specification involved in skeletal muscle regeneration"
"4932","GO:0014839","myoblast migration involved in skeletal muscle regeneration"
"4933","GO:0014841","skeletal muscle satellite cell proliferation"
"4934","GO:0014842","regulation of skeletal muscle satellite cell proliferation"
"4935","GO:0014843","growth factor dependent regulation of skeletal muscle satellite cell proliferation"
"4936","GO:0014844","myoblast proliferation involved in skeletal muscle regeneration"
"4937","GO:0014845","stomach body smooth muscle contraction"
"4938","GO:0014846","esophagus smooth muscle contraction"
"4939","GO:0014847","proximal stomach smooth muscle contraction"
"4940","GO:0014848","urinary tract smooth muscle contraction"
"4941","GO:0014849","ureter smooth muscle contraction"
"4942","GO:0014850","response to muscle activity"
"4943","GO:0014852","regulation of skeletal muscle contraction by neural stimulation via neuromuscular junction"
"4944","GO:0014853","regulation of excitatory postsynaptic membrane potential involved in skeletal muscle contraction"
"4945","GO:0014854","response to inactivity"
"4946","GO:0014855","striated muscle cell proliferation"
"4947","GO:0014856","skeletal muscle cell proliferation"
"4948","GO:0014857","regulation of skeletal muscle cell proliferation"
"4949","GO:0014858","positive regulation of skeletal muscle cell proliferation"
"4950","GO:0014859","negative regulation of skeletal muscle cell proliferation"
"4951","GO:0014860","neurotransmitter secretion involved in regulation of skeletal muscle contraction"
"4952","GO:0014861","regulation of skeletal muscle contraction via regulation of action potential"
"4953","GO:0014862","regulation of skeletal muscle contraction by chemo-mechanical energy conversion"
"4954","GO:0014863","detection of inactivity"
"4955","GO:0014864","detection of muscle activity"
"4956","GO:0014865","detection of activity"
"4957","GO:0014866","skeletal myofibril assembly"
"4958","GO:0014868","cross bridge cycling involved in regulation of the velocity of shortening in skeletal muscle contraction"
"4959","GO:0014869","detection of muscle inactivity"
"4960","GO:0014870","response to muscle inactivity"
"4961","GO:0014871","cross bridge formation involved in regulation of the velocity of shortening in skeletal muscle contraction"
"4962","GO:0014872","myoblast division"
"4963","GO:0014873","response to muscle activity involved in regulation of muscle adaptation"
"4964","GO:0014874","response to stimulus involved in regulation of muscle adaptation"
"4965","GO:0014875","detection of muscle activity involved in regulation of muscle adaptation"
"4966","GO:0014876","response to injury involved in regulation of muscle adaptation"
"4967","GO:0014877","response to muscle inactivity involved in regulation of muscle adaptation"
"4968","GO:0014878","response to electrical stimulus involved in regulation of muscle adaptation"
"4969","GO:0014879","detection of electrical stimulus involved in regulation of muscle adaptation"
"4970","GO:0014880","regulation of muscle filament sliding involved in regulation of the velocity of shortening in skeletal muscle contraction"
"4971","GO:0014881","regulation of myofibril size"
"4972","GO:0014882","regulation of myofibril number"
"4973","GO:0014883","transition between fast and slow fiber"
"4974","GO:0014884","detection of muscle inactivity involved in regulation of muscle adaptation"
"4975","GO:0014885","detection of injury involved in regulation of muscle adaptation"
"4976","GO:0014886","transition between slow and fast fiber"
"4977","GO:0014887","cardiac muscle adaptation"
"4978","GO:0014888","striated muscle adaptation"
"4979","GO:0014889","muscle atrophy"
"4980","GO:0014890","smooth muscle atrophy"
"4981","GO:0014891","striated muscle atrophy"
"4982","GO:0014893","response to rest involved in regulation of muscle adaptation"
"4983","GO:0014894","response to denervation involved in regulation of muscle adaptation"
"4984","GO:0014895","smooth muscle hypertrophy"
"4985","GO:0014896","muscle hypertrophy"
"4986","GO:0014897","striated muscle hypertrophy"
"4987","GO:0014898","cardiac muscle hypertrophy in response to stress"
"4988","GO:0014899","cardiac muscle atrophy"
"4989","GO:0014900","muscle hyperplasia"
"4990","GO:0014901","satellite cell activation involved in skeletal muscle regeneration"
"4991","GO:0014902","myotube differentiation"
"4992","GO:0014904","myotube cell development"
"4993","GO:0014905","myoblast fusion involved in skeletal muscle regeneration"
"4994","GO:0014906","myotube cell development involved in skeletal muscle regeneration"
"4995","GO:0014908","myotube differentiation involved in skeletal muscle regeneration"
"4996","GO:0014909","smooth muscle cell migration"
"4997","GO:0014910","regulation of smooth muscle cell migration"
"4998","GO:0014911","positive regulation of smooth muscle cell migration"
"4999","GO:0014912","negative regulation of smooth muscle cell migration"
"5000","GO:0014914","myoblast maturation involved in muscle regeneration"
"5001","GO:0014915","regulation of muscle filament sliding speed involved in regulation of the velocity of shortening in skeletal muscle contraction"
"5002","GO:0014916","regulation of lung blood pressure"
"5003","GO:0015009","corrin metabolic process"
"5004","GO:0015010","tetrahydrocorphin metabolic process"
"5005","GO:0015011","nickel-tetrapyrrole coenzyme metabolic process"
"5006","GO:0015012","heparan sulfate proteoglycan biosynthetic process"
"5007","GO:0015013","heparan sulfate proteoglycan biosynthetic process, linkage to polypeptide"
"5008","GO:0015014","heparan sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process"
"5009","GO:0015015","heparan sulfate proteoglycan biosynthetic process, enzymatic modification"
"5010","GO:0015031","protein transport"
"5011","GO:0015074","DNA integration"
"5012","GO:0015628","protein secretion by the type II secretion system"
"5013","GO:0015669","gas transport"
